date,time,station,temp_diff,lat,lon
2023-06-01,03:00:00,5,1.3550000000000004,41.65050778737983,-0.9049374051902781
2023-06-01,03:00:00,6,1.5940000000000012,41.660805673333115,-0.9044011411914769
2023-06-01,03:00:00,7,0.21499999999999986,41.66874763459151,-0.9131217444768837
2023-06-01,03:00:00,8,1.309000000000001,41.67676631433166,-0.8891352863981845
2023-06-01,03:00:00,9,0.5950000000000024,41.64105243127356,-0.8631685778273825
2023-06-01,03:00:00,10,0.9280000000000008,41.63346937025053,-0.8821917523182508
2023-06-01,03:00:00,11,0.8450000000000024,41.634344702300446,-0.8960014370988564
2023-06-01,03:00:00,12,1.0470000000000006,41.6517029997013,-0.9274207569979358
2023-06-01,03:00:00,13,0.7140000000000022,41.63925273463477,-0.9424645939808739
2023-06-01,03:00:00,14,1.3800000000000026,41.621069458508344,-0.9347764600002753
