date,time,temp
2023-06-02,20:57:53,22.7
2023-06-02,21:03:01,22.6
2023-06-02,21:13:16,22.3
2023-06-02,21:22:40,22.1
2023-06-02,21:32:55,21.9
2023-06-02,21:48:18,21.7
2023-06-02,21:58:33,21.6
2023-06-02,22:07:57,21.5
2023-06-02,22:23:20,21.3
2023-06-02,22:38:43,21.1
2023-06-02,22:48:07,21.0
2023-06-02,22:58:23,21.0
2023-06-02,23:13:46,20.8
2023-06-02,23:24:01,20.7
2023-06-02,23:38:33,20.6
2023-06-02,23:48:48,20.5
2023-06-02,23:59:03,20.4
2023-06-03,00:14:26,20.3
2023-06-03,00:23:50,20.3
2023-06-03,00:39:13,20.2
2023-06-03,00:49:28,20.1
2023-06-03,01:04:00,19.7
2023-06-03,01:14:15,19.6
2023-06-03,01:24:30,19.4
2023-06-03,01:39:53,19.3
2023-06-03,01:49:17,19.2
2023-06-03,01:59:32,19.2
2023-06-03,02:14:55,19.3
2023-06-03,02:30:18,19.4
2023-06-03,02:39:42,19.5
2023-06-03,02:49:57,19.6
2023-06-03,03:00:12,19.6
2023-06-03,03:10:27,19.5
2023-06-03,03:19:51,19.6
2023-06-03,03:30:06,19.6
2023-06-03,03:40:21,19.6
2023-06-03,03:55:44,19.2
2023-06-03,04:05:59,19.1
2023-06-03,04:15:23,19.1
2023-06-03,04:30:46,18.9
2023-06-03,04:41:01,18.9
2023-06-03,04:55:33,18.9
2023-06-03,05:05:48,18.9
2023-06-03,05:41:29,18.9
2023-06-03,05:51:44,19.0
2023-06-03,06:01:08,19.1
2023-06-03,06:11:23,19.3
2023-06-03,06:21:38,19.3
2023-06-03,06:37:01,19.4
2023-06-03,06:46:25,19.6
2023-06-03,06:56:40,19.9
2023-06-03,07:12:03,20.3
2023-06-03,07:26:35,20.7
2023-06-03,07:36:50,20.9
2023-06-03,07:47:05,21.0
2023-06-03,08:02:28,21.3
2023-06-03,08:11:52,21.4
2023-06-03,08:22:07,21.6
2023-06-03,08:37:30,21.8
2023-06-03,08:52:53,21.9
2023-06-03,09:02:17,22.1
2023-06-03,09:12:32,22.4
2023-06-03,09:27:55,22.7
2023-06-03,09:38:10,23.0
2023-06-03,09:47:34,23.4
2023-06-03,10:02:57,24.2
2023-06-03,10:13:12,24.5
2023-06-03,10:28:35,25.1
2023-06-03,10:37:59,25.4
2023-06-03,10:53:22,25.3
2023-06-03,11:03:37,25.1
2023-06-03,11:19:00,25.1
2023-06-03,11:28:24,25.4
2023-06-03,11:38:39,25.8
2023-06-03,11:54:02,26.3
2023-06-03,12:04:17,26.7
2023-06-03,12:13:41,26.9
2023-06-03,12:29:04,27.6
2023-06-03,12:44:27,28.3
2023-06-03,12:53:51,28.7
2023-06-03,13:04:06,29.0
2023-06-03,13:19:29,29.7
2023-06-03,13:29:44,30.3
2023-06-03,13:39:08,30.5
2023-06-03,13:54:31,30.8
2023-06-03,14:04:46,30.7
2023-06-03,14:20:09,30.3
2023-06-03,14:29:33,30.3
2023-06-03,14:44:56,30.5
2023-06-03,14:55:11,30.9
2023-06-03,15:05:28,31.2
2023-06-03,15:14:52,31.5
2023-06-03,15:25:07,31.8
2023-06-03,15:35:22,32.3
2023-06-03,15:45:37,32.6
2023-06-03,15:55:01,32.8
2023-06-03,16:10:24,32.9
2023-06-03,16:20:39,32.5
2023-06-03,16:36:02,31.2
2023-06-03,16:45:26,28.4
2023-06-03,16:55:41,26.0
2023-06-03,17:11:04,21.6
2023-06-03,17:21:19,19.7
2023-06-03,17:30:43,18.9
2023-06-03,17:46:06,18.3
2023-06-03,18:01:29,17.9
2023-06-03,18:10:53,17.9
2023-06-03,18:21:08,17.9
2023-06-03,18:36:31,17.7
2023-06-03,18:46:46,17.8
2023-06-03,19:02:09,17.9
2023-06-03,19:11:33,18.0
2023-06-03,19:21:48,18.1
2023-06-03,19:37:11,18.3
2023-06-03,19:51:43,18.4
2023-06-03,20:01:58,18.6
2023-06-03,20:12:13,18.5
2023-06-03,20:27:36,18.4
2023-06-03,20:37:00,18.5
2023-06-03,20:47:15,18.4
2023-06-03,21:02:38,18.1
2023-06-03,21:17:10,17.9
2023-06-03,21:27:25,17.8
2023-06-03,21:37:40,17.6
2023-06-03,21:53:03,17.4
2023-06-03,22:03:18,17.4
2023-06-03,22:12:42,17.4
2023-06-03,22:28:05,17.3
2023-06-03,22:38:20,17.3
2023-06-03,22:52:52,17.5
2023-06-03,23:03:07,17.6
2023-06-03,23:18:30,17.7
2023-06-03,23:28:45,17.8
2023-06-03,23:38:09,17.8
2023-06-03,23:53:32,17.8
2023-06-04,00:03:47,17.7
2023-06-04,00:19:10,17.5
2023-06-04,00:28:34,17.4
2023-06-04,00:38:49,17.1
2023-06-04,00:50:47,17.0
2023-06-04,05:21:40,16.7
2023-06-04,06:02:21,17.5
2023-06-04,06:11:39,17.6
2023-06-04,06:21:54,17.6
2023-06-04,06:32:09,17.7
2023-06-04,06:42:25,17.8
2023-06-04,07:02:10,18.1
2023-06-04,07:17:33,18.7
2023-06-04,07:26:57,18.9
2023-06-04,07:38:04,19.5
2023-06-04,07:47:28,19.6
2023-06-04,07:57:43,19.8
2023-06-04,08:07:58,19.9
2023-06-04,08:18:13,20.1
2023-06-04,08:27:37,20.3
2023-06-04,08:37:52,20.6
2023-06-04,08:53:15,21.0
2023-06-04,09:08:38,21.3
2023-06-04,09:31:42,21.8
2023-06-04,09:43:47,22.0
2023-06-04,09:52:19,22.2
2023-06-04,10:03:26,22.5
2023-06-04,10:29:10,23.0
2023-06-04,10:38:34,23.1
2023-06-04,10:53:57,23.7
2023-06-04,11:04:12,23.9
2023-06-04,11:18:44,24.6
2023-06-04,11:28:59,24.6
2023-06-04,11:39:14,25.0
2023-06-04,11:54:37,25.4
2023-06-04,12:04:01,25.6
2023-06-04,12:14:16,26.1
2023-06-04,12:29:39,26.5
2023-06-04,12:45:02,27.3
2023-06-04,12:54:26,27.6
2023-06-04,13:04:41,27.9
2023-06-04,13:20:04,28.6
2023-06-04,13:29:28,28.9
2023-06-04,13:39:43,29.1
2023-06-04,13:55:06,29.2
2023-06-04,14:10:29,29.5
2023-06-04,14:19:53,29.9
2023-06-04,14:30:08,30.0
2023-06-04,14:45:31,29.9
2023-06-04,14:55:46,29.9
2023-06-04,15:04:19,30.0
2023-06-04,15:15:26,29.7
2023-06-04,15:25:41,29.6
2023-06-04,15:35:56,29.8
2023-06-04,15:45:20,30.0
2023-06-04,15:55:35,30.1
2023-06-04,16:10:58,30.2
2023-06-04,16:21:13,30.0
2023-06-04,16:30:37,29.8
2023-06-04,16:46:00,29.9
2023-06-04,16:56:15,29.9
2023-06-04,17:11:38,30.1
2023-06-04,17:21:02,30.2
2023-06-04,17:31:17,30.2
2023-06-04,17:46:40,30.3
2023-06-04,18:01:12,30.2
2023-06-04,18:11:27,30.1
2023-06-04,18:21:42,30.0
2023-06-04,18:37:05,29.6
2023-06-04,18:46:29,29.4
2023-06-04,18:56:44,29.1
2023-06-04,19:12:07,28.6
2023-06-04,19:27:30,27.9
2023-06-04,19:36:54,27.4
2023-06-04,19:47:09,27.0
2023-06-04,20:02:32,26.3
2023-06-04,20:12:47,25.8
2023-06-04,20:22:11,25.4
2023-06-04,20:37:34,24.8
2023-06-04,20:47:49,24.5
2023-06-04,21:02:21,24.3
2023-06-04,21:12:36,24.1
2023-06-04,21:27:59,23.4
2023-06-04,21:38:14,23.0
2023-06-04,21:47:38,22.6
2023-06-04,22:03:01,22.2
2023-06-04,22:13:16,21.9
2023-06-04,22:28:39,21.6
2023-06-04,22:38:03,21.4
2023-06-04,22:48:18,21.3
2023-06-04,23:03:41,21.0
2023-06-04,23:13:05,20.9
2023-06-04,23:28:28,20.9
2023-06-04,23:38:43,20.9
2023-06-04,23:54:06,20.8
2023-06-05,00:03:30,20.7
2023-06-05,00:13:45,20.6
2023-06-05,00:29:08,20.6
2023-06-05,00:43:40,20.5
2023-06-05,00:53:56,20.6
2023-06-05,01:04:11,20.5
2023-06-05,01:19:34,20.4
2023-06-05,01:28:58,20.3
2023-06-05,01:39:13,20.1
2023-06-05,01:54:36,20.0
2023-06-05,02:04:51,19.9
2023-06-05,02:14:15,19.9
2023-06-05,02:29:38,19.4
2023-06-05,02:45:01,18.8
2023-06-05,02:55:15,18.6
2023-06-05,03:04:39,18.5
2023-06-05,03:20:02,18.3
2023-06-05,03:30:17,18.3
2023-06-05,03:44:49,18.4
2023-06-05,03:55:04,18.4
2023-06-05,04:05:19,18.4
2023-06-05,04:20:42,18.1
2023-06-05,04:30:06,17.9
2023-06-05,04:45:29,17.9
2023-06-05,05:11:08,18.0
2023-06-05,05:20:32,18.0
2023-06-05,05:30:47,18.2
2023-06-05,05:46:10,18.4
2023-06-05,06:01:33,18.9
2023-06-05,06:10:57,19.2
2023-06-05,06:21:12,19.5
2023-06-05,06:36:35,19.9
2023-06-05,06:46:50,20.2
2023-06-05,06:56:14,20.4
2023-06-05,07:11:37,20.8
2023-06-05,07:21:52,21.2
2023-06-05,07:37:15,21.4
2023-06-05,07:46:39,21.6
2023-06-05,08:02:02,21.9
2023-06-05,08:12:17,22.3
2023-06-05,08:27:40,22.7
2023-06-05,08:37:04,22.9
2023-06-05,08:47:19,23.4
2023-06-05,09:02:42,23.7
2023-06-05,09:18:05,24.3
2023-06-05,09:27:29,24.6
2023-06-05,09:37:44,24.9
2023-06-05,09:53:07,25.2
2023-06-05,10:03:22,25.5
2023-06-05,10:17:54,26.2
2023-06-05,10:28:09,26.6
2023-06-05,10:38:24,27.0
2023-06-05,10:53:47,27.5
2023-06-05,11:03:11,27.8
2023-06-05,11:18:34,28.2
2023-06-05,11:28:49,28.5
2023-06-05,11:44:12,28.9
2023-06-05,11:53:36,29.3
2023-06-05,12:03:51,29.7
2023-06-05,12:19:14,30.4
2023-06-05,12:29:29,30.9
2023-06-05,12:38:53,31.2
2023-06-05,12:54:16,31.5
2023-06-05,13:09:39,31.9
2023-06-05,13:19:54,31.9
2023-06-05,13:29:18,32.1
2023-06-05,13:44:41,32.0
2023-06-05,13:54:56,32.1
2023-06-05,14:09:28,32.4
2023-06-05,14:19:43,32.7
2023-06-05,14:29:58,33.0
2023-06-05,14:45:21,33.1
2023-06-05,14:59:53,33.2
2023-06-05,15:10:08,33.2
2023-06-05,15:20:23,33.3
2023-06-05,15:35:46,33.6
2023-06-05,15:45:10,33.7
2023-06-05,15:55:25,33.7
2023-06-05,16:10:48,31.7
2023-06-05,16:26:11,29.3
2023-06-05,16:35:35,29.0
2023-06-05,16:45:50,28.9
2023-06-05,17:01:13,28.9
2023-06-05,17:11:28,28.9
2023-06-05,17:20:52,28.8
2023-06-05,17:36:15,28.6
2023-06-05,17:46:30,28.4
2023-06-05,18:01:02,28.1
2023-06-05,18:11:17,27.9
2023-06-05,18:26:40,27.5
2023-06-05,18:36:55,27.5
2023-06-05,18:46:19,27.6
2023-06-05,19:01:42,27.5
2023-06-05,19:11:57,27.4
2023-06-05,19:27:20,27.1
2023-06-05,19:36:44,26.9
2023-06-05,19:46:59,26.6
2023-06-05,20:02:22,26.3
2023-06-05,20:16:54,26.0
2023-06-05,20:27:09,25.4
2023-06-05,20:37:24,24.9
2023-06-05,20:52:47,24.1
2023-06-05,21:02:11,23.8
2023-06-05,21:12:26,23.4
2023-06-05,21:27:49,22.9
2023-06-05,21:43:12,22.5
2023-06-05,21:52:36,22.4
2023-06-05,22:02:51,22.3
2023-06-05,22:18:14,22.1
2023-06-05,22:27:38,22.1
2023-06-05,22:36:11,22.0
2023-06-05,22:47:49,21.7
2023-06-05,23:03:12,21.6
2023-06-05,23:13:27,21.6
2023-06-05,23:27:59,21.6
2023-06-05,23:38:14,21.5
2023-06-05,23:53:37,21.3
2023-06-06,00:03:52,21.1
2023-06-06,00:13:16,21.0
2023-06-06,00:28:39,20.9
2023-06-06,00:38:54,20.8
2023-06-06,00:58:35,20.8
2023-06-06,01:08:50,20.9
2023-06-06,01:19:05,20.9
2023-06-06,01:29:20,21.0
2023-06-06,01:43:52,20.9
2023-06-06,01:54:07,20.6
2023-06-06,02:04:22,20.5
2023-06-06,02:19:45,20.4
2023-06-06,02:29:09,20.4
2023-06-06,02:39:24,20.4
2023-06-06,02:54:46,20.3
2023-06-06,03:10:09,20.3
2023-06-06,03:19:33,20.1
2023-06-06,03:29:48,20.0
2023-06-06,03:45:11,19.9
2023-06-06,03:55:26,19.9
2023-06-06,04:04:50,19.9
2023-06-06,04:20:13,19.8
2023-06-06,04:30:28,19.8
2023-06-06,04:39:52,19.7
2023-06-06,04:50:59,19.7
2023-06-06,05:00:23,19.6
2023-06-06,05:10:38,19.5
2023-06-06,05:20:53,19.4
2023-06-06,05:36:16,19.5
